policy,quality,q_lo95,q_hi95,cost_per_1k_usd,p50_s,p95_s,small_share,tau
tau=0.00,0.6806,0.604,0.75,0.0743,0.549,0.909,1.0,0.0
tau=0.01,0.6736,0.5903,0.75,0.1467,0.549,3.647,0.9167,0.01
tau=0.02,0.6736,0.5972,0.7431,0.1918,0.554,4.686,0.8542,0.02
tau=0.03,0.6736,0.5903,0.7432,0.2145,0.557,4.818,0.8194,0.03
tau=0.04,0.6806,0.6042,0.7569,0.2509,0.563,4.828,0.7639,0.04
tau=0.05,0.6875,0.6111,0.7569,0.2877,0.569,4.831,0.7153,0.05
tau=0.06,0.6875,0.6111,0.7569,0.3006,0.584,4.9,0.6875,0.06
tau=0.07,0.7014,0.6318,0.7708,0.3475,0.69,4.9,0.5764,0.07
tau=0.08,0.7014,0.6318,0.7708,0.3578,0.744,4.9,0.5625,0.08
tau=0.09,0.7083,0.6457,0.771,0.3691,0.817,4.9,0.5417,0.09
tau=0.10,0.7153,0.6458,0.7847,0.3813,1.048,4.9,0.5,0.1
tau=0.11,0.7222,0.6526,0.7917,0.3903,1.153,4.9,0.4792,0.11
tau=0.12,0.7222,0.6526,0.7917,0.397,1.172,4.9,0.4583,0.12
tau=0.13,0.7222,0.6526,0.7917,0.4318,1.475,4.926,0.4167,0.13
tau=0.14,0.7222,0.6526,0.7917,0.435,1.482,4.926,0.4028,0.14
tau=0.15,0.7222,0.6526,0.7917,0.4367,1.487,4.926,0.3958,0.15
tau=0.16,0.7292,0.6595,0.7986,0.4449,1.499,4.926,0.3819,0.16
tau=0.17,0.7292,0.6595,0.7986,0.4469,1.503,4.926,0.375,0.17
tau=0.18,0.7292,0.6595,0.7986,0.4469,1.503,4.926,0.375,0.18
tau=0.19,0.7292,0.6595,0.7986,0.4485,1.503,4.926,0.3681,0.19
tau=0.20,0.7292,0.6595,0.7986,0.4485,1.503,4.926,0.3681,0.2
tau=0.21,0.7292,0.6595,0.7986,0.4504,1.523,4.926,0.3611,0.21
tau=0.22,0.7222,0.6389,0.7918,0.4628,1.646,4.926,0.3333,0.22
tau=0.23,0.7222,0.6389,0.7918,0.4697,1.722,4.926,0.3056,0.23
tau=0.24,0.7222,0.6389,0.7918,0.4835,1.807,4.926,0.2569,0.24
tau=0.25,0.7222,0.6389,0.7918,0.4926,1.862,4.926,0.2222,0.25
tau=0.26,0.7222,0.6389,0.7918,0.4994,1.961,4.926,0.2083,0.26
tau=0.27,0.7222,0.6389,0.7918,0.5143,1.983,4.926,0.1667,0.27
tau=0.28,0.7222,0.6389,0.7918,0.5181,1.983,4.926,0.1458,0.28
tau=0.29,0.7292,0.6528,0.7986,0.5266,1.988,4.926,0.1111,0.29
tau=0.30,0.7292,0.6528,0.7986,0.5266,1.988,4.926,0.1111,0.3
tau=0.31,0.7292,0.6528,0.7986,0.5354,1.992,4.926,0.0833,0.31
tau=0.32,0.7361,0.6667,0.7986,0.542,1.992,4.926,0.0486,0.32
tau=0.33,0.7361,0.6667,0.7986,0.5456,1.992,4.926,0.0278,0.33
tau=0.34,0.7361,0.6667,0.7986,0.5469,1.992,4.926,0.0208,0.34
tau=0.35,0.7361,0.6667,0.7986,0.5469,1.992,4.926,0.0208,0.35
tau=0.36,0.7361,0.6667,0.7986,0.5469,1.992,4.926,0.0208,0.36
tau=0.37,0.7361,0.6667,0.7986,0.5469,1.992,4.926,0.0208,0.37
tau=0.38,0.7361,0.6667,0.7986,0.5469,1.992,4.926,0.0208,0.38
tau=0.39,0.7361,0.6667,0.7986,0.55,1.992,4.926,0.0139,0.39
tau=0.40,0.7361,0.6667,0.7986,0.5514,1.992,4.926,0.0069,0.4
tau=0.41,0.7361,0.6667,0.7986,0.5514,1.992,4.926,0.0069,0.41
tau=0.42,0.7361,0.6667,0.7986,0.5514,1.992,4.926,0.0069,0.42
tau=0.43,0.7361,0.6667,0.7986,0.5514,1.992,4.926,0.0069,0.43
tau=0.44,0.7361,0.6667,0.7986,0.5514,1.992,4.926,0.0069,0.44
tau=0.45,0.7361,0.6667,0.7986,0.5514,1.992,4.926,0.0069,0.45
tau=0.46,0.7361,0.6667,0.7986,0.5514,1.992,4.926,0.0069,0.46
tau=0.47,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.47
tau=0.48,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.48
tau=0.49,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.49
tau=0.50,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.5
tau=0.51,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.51
tau=0.52,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.52
tau=0.53,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.53
tau=0.54,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.54
tau=0.55,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.55
tau=0.56,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.56
tau=0.57,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.57
tau=0.58,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.58
tau=0.59,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.59
tau=0.60,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.6
tau=0.61,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.61
tau=0.62,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.62
tau=0.63,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.63
tau=0.64,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.64
tau=0.65,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.65
tau=0.66,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.66
tau=0.67,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.67
tau=0.68,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.68
tau=0.69,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.69
tau=0.70,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.7
tau=0.71,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.71
tau=0.72,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.72
tau=0.73,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.73
tau=0.74,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.74
tau=0.75,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.75
tau=0.76,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.76
tau=0.77,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.77
tau=0.78,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.78
tau=0.79,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.79
tau=0.80,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.8
tau=0.81,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.81
tau=0.82,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.82
tau=0.83,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.83
tau=0.84,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.84
tau=0.85,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.85
tau=0.86,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.86
tau=0.87,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.87
tau=0.88,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.88
tau=0.89,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.89
tau=0.90,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.9
tau=0.91,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.91
tau=0.92,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.92
tau=0.93,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.93
tau=0.94,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.94
tau=0.95,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.95
tau=0.96,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.96
tau=0.97,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.97
tau=0.98,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.98
tau=0.99,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,0.99
tau=1.00,0.7361,0.6667,0.7986,0.5543,2.026,4.926,0.0,1.0
